y_true,ensemble_pred,residual,bpnn_pred,rf_pred,xgb_pred
55.86,56.11845937388601,-0.25845937388601214,52.753296,56.56819103174602,56.94531
55.21,56.83523448897623,-1.6252344889762327,58.674957,55.5739399074074,57.370026
32.3,32.45291756216076,-0.15291756216076635,44.424713,30.524775568783067,29.830297
54.4,51.05007163539818,3.3499283646018156,52.311405,50.345072804232814,51.26147
52.76,55.33300190302976,-2.5730019030297626,57.25008,54.2893635557961,55.627213
31.63,37.05440927836805,-5.424409278368049,45.43412,35.3869280687831,35.52761
66.49,65.9084350701674,0.5815649298325951,59.267426,67.04185599206349,67.301216
71.4,69.04889528108188,2.3511047189181227,65.05052,69.26905226190475,70.33668
47.42,50.0003620921986,-2.580362092198598,49.979282,49.711157575757575,50.289337
39.11,43.807801044121845,-4.697801044121846,45.905605,44.06298828042328,42.771896
37.68,38.82601681510625,-1.1460168151062504,42.08143,38.615690701058185,37.807728
50.3,49.67215539608945,0.6278446039105461,54.156704,49.00464923280423,48.63652
76.3,74.76529220920723,1.5347077907927655,63.450344,77.24830619047617,76.60197
36.09,37.85031260136041,-1.760312601360404,45.69039,36.78326188949938,35.942677
67.65,66.99166498715007,0.6583350128499319,60.146103,68.54116537851039,68.056915
44.02,46.233400278077426,-2.2134002780774225,51.63716,45.14079607623859,45.265644
70.12,70.43183033935723,-0.31183033935722904,66.40973,71.38451269841276,71.01663
52.65,53.853534184539505,-1.2035341845395067,51.587006,53.71537982804234,54.839077
61.26,58.21530096892229,3.0446990310777053,57.911144,57.98309765873016,58.5552
73.72,73.50312549628383,0.2168745037161699,62.239525,76.18342579365078,75.128784
59.6,61.47756625106681,-1.8775662510668099,55.763035,62.82286600048101,62.316463
44.44,48.48475898465226,-4.044758984652262,51.50743,47.54234543650791,48.26535
60.18,59.331166690149296,0.8488333098507042,58.370068,58.622059484127035,60.381275
38.94,43.99101289268857,-5.051012892688576,44.79246,43.92110284391536,43.757942
53.54,53.34429992401871,0.1957000759812857,50.285873,53.464644512987014,54.376053
32.15,35.871346111575356,-3.7213461115753574,44.899754,34.22281965608468,34.082485
43.78,47.81633895598446,-4.036338955984462,51.424873,48.29588589947089,45.994984
60.02,61.01035636299455,-0.9903563629945467,55.01795,63.1121332142857,61.218456
56.77,57.38495234066441,-0.6149523406644093,55.84423,57.73460642857144,57.623825
38.37,39.17943907282054,-0.8094390728205454,47.355564,37.0029239959115,38.2238
26.61,31.025582419681335,-4.415582419681336,38.042183,29.473222076719576,29.898872
39.52,39.93926282986189,-0.4192628298618857,43.434906,39.2045017857143,39.34041
46.29,48.486151212580914,-2.196151212580915,53.0648,48.598391984126984,46.65739
42.27,48.5635189463466,-6.293518946346595,51.896282,47.69634265873013,48.154526
65.07,62.44026687315953,2.6297331268404633,57.338818,63.35976337301587,63.462708
61.07,58.30050959884416,2.769490401155842,58.96169,58.002640436507924,58.34166
51.92,48.86797079640343,3.0520292035965753,49.56687,47.85440589105339,49.59049
50.08,48.48849822042408,1.5915017795759212,50.291714,48.3438439069264,47.951817
49.63,52.88478088061196,-3.2547808806119605,50.790607,53.564541574074035,53.01071
48.21,47.4288902334225,0.7811097665775009,50.060265,46.9991919047619,46.858173
55.11,52.551879848563246,2.5581201514367535,49.115906,53.3048391666667,53.110638
57.06,54.89843013719354,2.1615698628064592,54.350098,54.460634424001945,55.52984
64.82,65.21009127304097,-0.39009127304098,62.05817,65.85173599206357,65.77034
52.29,53.55153126858957,-1.2615312685895717,55.030716,53.90224007936511,52.65514
68.01,61.34007904732284,6.669920952677167,57.443344,61.62758317460322,62.524235
43.74,45.128757200207374,-1.3887572002073725,50.399254,43.1403623340548,45.08161
46.9,49.62393039018589,-2.723930390185892,54.773514,48.40543865079364,48.87398
33.96,36.99787627023188,-3.0378762702318767,45.198444,35.17010041005292,35.69414
37.71,41.98936666694505,-4.279366666945052,46.416763,41.16854838624341,41.12419
55.2,56.3967760952733,-1.1967760952733002,58.288498,56.24883276455022,55.830048
39.83,42.05608811742802,-2.22608811742802,45.975903,41.35746922198172,41.2628
50.46,51.161094336845224,-0.7010943368452232,50.771824,51.75182244708992,50.73321
56.07,57.36660821130265,-1.2966082113026474,54.33777,57.01365349206345,58.847214
38.83,43.26428536841272,-4.4342853684127235,49.268753,42.695649682539646,41.561703
57.04,56.55020017527876,0.4897998247212385,58.23826,55.69643835858585,56.7459
73.72,71.90704342522449,1.8129565747755123,66.173706,72.21623887566138,73.759926
36.18,39.24917377122344,-3.06917377122344,46.52507,36.90997906084657,38.789745
61.86,58.177740593647364,3.6822594063526353,53.508705,58.6080816534392,59.51315
61.55,61.07867676790701,0.47132323209298477,57.13299,62.53533103174602,61.145004
63.55,60.588468978762904,2.961531021237093,59.761818,60.03768535714285,61.43422
62.45,59.81745538046434,2.6325446195356648,54.37803,60.667551872294375,61.034283
54.82,51.61280944249093,3.2071905575090724,50.25219,51.93083591269841,51.814774
37.03,33.81167837472255,3.2183216252774542,42.488274,32.056050515873,32.259037
68.37,65.86442771743117,2.505572282568835,61.502197,67.21755078042327,66.18782
47.95,47.58922861377885,0.36077138622115257,49.66711,47.2582871969697,47.130424
73.5,70.73017878942244,2.769821210577561,66.79298,71.6568028968254,71.30842
50.16,53.067454783487484,-2.9074547834874878,50.60569,54.37824568783068,52.718193
78.26,75.31166951317473,2.94833048682527,68.98575,76.83123982804229,76.21084
64.3,61.19892321416329,3.1010767858367103,57.906315,61.12704785714285,62.505436
41.85,45.36546549583932,-3.5154654958393152,49.1652,44.73699313492064,44.549107
49.01,52.67112712462646,-3.6611271246264607,51.559635,53.24309527777776,52.532734
61.56,58.235449260210345,3.3245507397896574,58.88232,57.95694996993744,58.263145
34.82,35.262809313850795,-0.4428093138507947,38.85871,34.57007785714285,34.585453
62.13,61.898978021038516,0.23102197896148624,58.260338,62.26796177248674,62.907013
49.91,54.45300063780749,-4.543000637807495,56.291245,54.52008776455024,53.697384
62.11,57.40029758547225,4.709702414527747,52.81346,57.83241484126988,58.70311
55.44,54.82409830644008,0.6159016935599197,54.59953,54.686345238095235,55.042316
53.57,52.45549054456413,1.114509455435872,52.853806,52.588710354737906,52.176422
43.52,46.402794206295354,-2.882794206295351,49.091293,45.64318988095241,46.131237
70.16,68.439529708705,1.7204702912950012,62.53926,68.74882265873012,70.35501
27.67,27.84225562293457,-0.17225562293456775,35.850513,26.232104444444442,26.399254
31.47,34.596497837613015,-3.126497837613016,36.22272,34.58549507936512,33.996403
39.68,39.49749225721184,0.18250774278816095,41.028427,39.43246791005287,38.985687
38.99,44.825979646723525,-5.835979646723523,47.508663,44.85409832010585,43.791073
39.87,37.14831709087785,2.721682909122144,46.427483,34.979849603174586,35.77057
57.79,55.92645895413703,1.8635410458629664,51.505333,57.13534153439156,56.412148
61.91,57.94937701730725,3.9606229826927475,57.480545,56.057803193843235,59.963757
44.95,53.55479271994978,-8.604792719949778,57.587315,53.553701785714296,52.04129
39.18,39.39600405769228,-0.21600405769228104,44.89212,38.65097882275131,38.055775
53.03,52.29312116456185,0.7368788354381479,54.319843,52.17973464526212,51.642105
